flux_fraction,E0-E0_GHz,E1-E0_GHz,E2-E0_GHz,E3-E0_GHz,E4-E0_GHz,E5-E0_GHz
0.17500000000000002,0.0,5.826479399477922,10.493529213906427,12.25749318440084,15.872420127632925,19.74591820009974
0.18,0.0,5.73793141569747,10.494221570755233,12.334790620082572,15.82241178295164,19.746591145715428
0.185,0.0,5.649341850692947,10.493929046253214,12.412640462016785,15.771952134432375,19.74662216076501
0.19,0.0,5.560713132924045,10.49273528529406,12.490929696325587,15.72109423065409,19.745996069338204
0.195,0.0,5.472047574011454,10.490711648821051,12.569553730097734,15.669893762022438,19.74469918459084
0.2,0.0,5.383347381768958,10.48791895983771,12.648413798834088,15.618409951424198,19.74271921149333
0.20500000000000002,0.0,5.294614672154205,10.484409007946887,12.727414392915588,15.566706666842578,19.740045150125464
0.21,0.0,5.205851480310649,10.480225834816228,12.806460609104963,15.514853827028801,19.736667200067615
0.215,0.0,5.117059770856201,10.475406826349046,12.885455303530795,15.462929197618797,19.73257666633414
0.22,0.0,5.028241447553882,10.469983637386422,12.96429588567164,15.411020712041323,19.727765867194968
0.225,0.0,4.9393983624889914,10.463982973080018,13.042870542376367,15.35922950380434,19.722228044140866
0.23,0.0,4.850532324867196,10.45742724858552,13.121053609437196,15.307673910803478,19.715957274165003
0.23500000000000001,0.0,4.761645109539682,10.450335146012055,13.198699706135873,15.256494817153037,19.7089483844517
0.24,0.0,4.67273846535858,10.442722084902432,13.275636103596263,15.205862845311696,19.701196869489415
0.245,0.0,4.583814123463319,10.434600620091961,13.351652597507554,15.155988114003017,19.692698810550063
0.25,0.0,4.494873805599164,10.425980778631107,13.426487890694501,15.107133544687072,19.68345079740574
0.255,0.0,4.405919232570119,10.416870345599568,13.499811172426101,15.059633019793472,19.673449852078633
0.26,0.0,4.316952132936159,10.40727510705711,13.571197284518146,15.013915994354202,19.662693354348747
0.265,0.0,4.227974252069608,10.397199057038012,13.640093832655314,14.970540195623393,19.651178968661267
0.27,0.0,4.138987361698018,10.386644574392841,13.70577947102705,14.930233176718454,19.638904571995738
0.275,0.0,4.049993270073609,10.375612574351146,13.767315787944574,14.893940291643672,19.625868182162645
0.28,0.0,3.960993832926529,10.364102638926399,13.82350339022313,14.862868489690728,19.612067885892746
0.28500000000000003,0.0,3.8719909653828624,10.352113129648952,13.87286911459293,14.838498997327875,19.597501765963067
0.29,0.0,3.7829866550551543,10.339641285615498,13.9137344144724,14.822518836112701,19.582167826469682
0.295,0.0,3.6939829765473604,10.326683309416289,13.94442552103413,14.816610574938693,19.566063915190327
0.3,0.0,3.6049821076585022,10.313234443175931,13.963637529471379,14.822088163250553,19.549187641791693
0.305,0.0,3.515986347624345,10.29928903667507,13.970831162332686,14.839500091124094,19.531536290398773
0.31,0.0,3.426998137798381,10.284840609316142,13.966427506316354,14.868434577733147,19.51310672476408
0.315,0.0,3.33802008525703,10.269881907537302,13.951658350388529,14.907669158350481,19.493895283926452
0.32,0.0,3.2490549899162753,10.25440495917794,13.928182769875844,14.955554023282382,19.473897665827078
0.325,0.0,3.160105875870711,10.23840112622351,13.89770709079412,15.010391972506893,19.45310879582354
0.33,0.0,3.071176027831908,10.221861157340348,13.86175132204256,15.070671896356153,19.431522676399663
0.335,0.0,2.982269033739337,10.204775241617828,13.821564145100654,15.135153690443143,19.4091322135606
0.34,0.0,2.893388834881147,10.187133065002424,13.778127801828115,15.202863261894468,19.385929014409765
0.34500000000000003,0.0,2.80453978518896,10.168923871008548,13.732199723912565,15.273050780749605,19.361903149161083
0.35000000000000003,0.0,2.71572672179827,10.15013652745844,13.684360923017834,15.345142154553546,19.337042869302785
0.355,0.0,2.626955049518106,10.130759601236264,13.635058782597586,15.418696081838,19.31133427171676
0.36,0.0,2.5382308425784075,10.110781443365997,13.584641047219085,15.493369884777255,19.284760896201448
0.365,0.0,2.4495609679720554,10.090190287160441,13.533381518413789,15.568893607468807,19.257303240948737
0.37,0.0,2.3609532359768934,10.068974362783825,13.481499052790074,15.64505077874162,19.228938177013823
0.375,0.0,2.2724165851343248,10.047122032379441,13.429171500559047,15.721664194936753,19.19963823861316
0.38,0.0,2.1839613112561844,10.024621951013211,13.376545941154276,15.798585358279889,19.16937076120899
0.385,0.0,2.0955993531582413,10.001463260199664,13.323746249172242,15.875686528277654,19.138096833910247
0.39,0.0,2.0073446521414673,9.977635822874342,13.270878749244153,15.952854616131267,19.105770027166642
0.395,0.0,1.9192136082706113,9.953130511626549,13.218036509656917,16.029986358353842,19.072334852012556
0.4,0.0,1.8312256650104755,9.927939566177303,13.165302674324048,16.10698435270363,19.03772490515492
0.405,0.0,1.7434040659552024,9.902057042084254,13.112753128654722,16.18375363943307,19.001860658714207
